Project,Conflict files,Holes,Resolved holes,Resolved Rate,Max. k,Avg. k,P.S.,Time (ms)
auto,4,11,10,0.9090909090909091,2,1.1818181818181819,191.0909090909091,94.72727272727273
drjava,2,2,2,1.0,2,1.5,515.0,297.5
error-prone,8,13,8,0.6153846153846154,13,4.615384615384615,6.3076923076923075,146.46153846153845
fastjson,8,19,19,1.0,18,2.3684210526315788,8.363636363636363,119.15789473684211
freecol,22,57,57,1.0,2,1.8070175438596492,23.896551724137932,87.91228070175438
itextpdf,47,47,47,1.0,1,1.0,6.0,231.93617021276594
jsoup,2,2,2,1.0,1,1.0,6.0,116.0
junit4,33,51,45,0.8823529411764706,13,1.7843137254901962,133.0,126.72549019607843
RxJava,1,1,1,1.0,2,2.0,6.0,1.0
vert.x,11,41,41,1.0,4,1.7804878048780488,7.2439024390243905,63.21951219512195
Overall,138,244,232,0.9508196721311475,18,1.7991803278688525,48.87550200803213,127.06967213114754
